Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Bruce Weiner Microcar Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Madison, Georgia, USA",,,,,"2950 EATONTON RD, MADISON, GA 30650-5028",,,Madison,,,Morgan County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.microcarmuseum.com/,,,,,,"","","",,,,,,,,,,30650-5028,,,,,,"","",
,Brumby Hall,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,,,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.exploregeorgia.org/marietta/history-heritage/civil-war/brumby-hall-gardens,,,,,,"","","",,,,,,,4041,,,30061-4041,,,,,,"","",
,Brunswick History Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Brunswick, Georgia, USA",,,,,"40 WEST POTOMAC STREET, BRUNSWICK, GA 31520",,,Brunswick,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.brunswickmuseum.org/,,,,,,"","","",,,,,,,,,,31520,,,,,,"","",
,Bryan-Lang Foundation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Woodbine, Georgia, USA",,,,,"311 CAMDEN AVE, WOODBINE, GA 31569",,,Woodbine,,,Camden County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.co.camden.ga.us/66/Bryan-Lang-Historical-Archives,,,,,,"","","",,,,,,,,,,31569,,,,,,"","",
,Buckhead Conservancy,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"556 PEACHTREE BATTLE AVE, ATLANTA, GA 30305-4059",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30305-4059,,,,,,"","",
,Buckhead Heritage Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"2868 HABERSHAM RD NW, ATLANTA, GA 30305-2959",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.buckheadheritage.com,,,,,,"","","",,,,,,,,,,30305-2959,,,,,,"","",
,Bulloch County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Statesboro, Georgia, USA",,,,,,,,Statesboro,,,Bulloch County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://bullochhistory.com/,,,,,,"","","",,,,,,,42,,,30459-0042,,,,,,"","",
,Bulloch Hall,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roswell, Georgia, USA",,,,,"180 BULLOCH AVE, ROSWELL, GA 30075",,,Roswell,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.bullochhall.org,,,,,,"","","",,,,,,,,,,30075,,,,,,"","",
,Burke County Genealogical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Waynesboro, Georgia, USA",,,,,,,,Waynesboro,,,Burke County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://burkecounty-ga.gov/community-links/archives/,,,,,,"","","",,,,,,,1522,,,30830-2522,,,,,,"","",
,Burke County Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Waynesboro, Georgia, USA",,,,,,,,Waynesboro,,,Burke County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://burkecounty-ga.gov/departments/museum/,,,,,,"","","",,,,,,,329,,,30830-0329,,,,,,"","",
,Burnt Fort Historical Association,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in White Oak, Georgia, USA",,,,,"825 OLD POST RD, WHITE OAK, GA 31568-4429",,,White Oak,,,Camden County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31568-4429,,,,,,"","",
,Butts County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Jackson, Georgia, USA",,,,,,,,Jackson,,,Butts County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://buttscountyhistoricalsocietyinc.org/,,,,,,"","","",,,,,,,215,,,30216,,,,,,"","",
,Byron Hebert Reece Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Young Harris, Georgia, USA",,,,,"8552 GAINESVILLE HWY, BLAIRSVILLE, GA 30582-0811",,,Young Harris,,,Towns County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://byronherbertreecesociety.wordpress.com/,,,,,,"","","",,,,,,,,,,30582-0811,,,,,,"","",
,C.T. And Octavia Vivian Museum And Archives,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,,,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://ctovma.org/press.php,,,,,,"","","",,,,,,,11418,,,30310-0418,,,,,,"","",
,Candler County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Metter, Georgia, USA",,,,,"245 WEST VERTIA ST, METTER, GA 30439",,,Metter,,,Candler County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://candlerhistoricalsociety.org/,,,,,,"","","",,,,,,,,,,30439,,,,,,"","",
,Candler Field Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Griffin, Georgia, USA",,,,,"129 SKY HARBOR WAY, GRIFFIN, GA 30224-4873",,,Griffin,,,Spalding County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://peachstateaero-wp.javelincms.com/candler-field/museum/,,,,,,"","","",,,,,,,,,,30224-4873,,,,,,"","",
,Cannonball House,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Macon, Georgia, USA",,,,,"856 MULBERRY ST, MACON, GA 31201-6755",,,Macon,,,Bibb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.cannonballhouse.org/,,,,,,"","","",,,,,,,,,,31201-6755,,,,,,"","",
,Canton St Paul And Pacific Railway,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Canton, Georgia, USA",,,,,"110 ROUNDHOUSE RD, CANTON, GA 30114-2924",,,Canton,,,Cherokee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.csppry.org/,,,,,,"","","",,,,,,,,,,30114-2924,,,,,,"","",
,Capitol Theatre,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Macon, Georgia, USA",,,,,"382 2ND ST, MACON, GA 31201-2736",,,Macon,,,Bibb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.hargraycapitoltheatre.com/,,,,,,"","","",,,,,,,,,,31201-2736,,,,,,"","",
,Carroll County Genealogical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Carrollton, Georgia, USA",,,,,,,,Carrollton,,,Carroll County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.ccgsga.org/,,,,,,"","","",,,,,,,576,,,30112-0011,,,,,,"","",
,Carroll County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Carrollton, Georgia, USA",,,,,,,,Carrollton,,,Carroll County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.carrollcountyhistory.org/,,,,,,"","","",,,,,,,160,,,30112,,,,,,"","",
,Carson Mc Culler's Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,"1519 STARK AVE, COLUMBUS, GA 31906",,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://mccullerscenter.org,,,,,,"","","",,,,,,,,,,31906,,,,,,"","",
,Cassville Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cassville, Georgia, USA",,,,,,,,Cassville,,,Bartow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cassvillehistoricalsociety.com/,,,,,,"","","",,,,,,,46,,,30123-0046,,,,,,"","",
,Catoosa Citizens' & Veterans' Memorial,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Ringgold, Georgia, USA",,,,,"749 PINE GROVE RD, RINGGOLD, GA 30736-8036",,,Ringgold,,,Catoosa County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/Catoosa-Citizens-Veterans-Memorial-Inc-334968149951677/,,,,,,"","","",,,,,,,,,,30736-8036,,,,,,"","",
,Catoosa County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Ringgold, Georgia, USA",,,,,,,,Ringgold,,,Catoosa County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/catoosahistory/,,,,,,"","","",,,,,,,113,,,30736,,,,,,"","",
,Cave Spring Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cave Spring, Georgia, USA",,,,,"13 OLD CEDARTOWN RD, CAVE SPRING, GA 30124-0715",,,Cave Spring,,,Floyd County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cavespringhistoricalsociety.com/,,,,,,"","","",,,,,,,,,,30124-0715,,,,,,"","",
,Celtic Collection Program,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Milner, Georgia, USA",,,,,"141 EVANS RD, MILNER, GA 30257-3140",,,Milner,,,Lamar County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30257-3140,,,,,,"","",
,Center For Puppetry Arts,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"1404 SPRING ST NW, ATLANTA, GA 30309-2820",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.puppet.org/,,,,,,"","","",,,,,,,,,,30309-2820,,,,,,"","",
,Center For The Study Of African Diaspora Museums & Community,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"335 RIVERVIEW DR, SAVANNAH, GA 31404-1409",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://cfsaadmc.wordpress.com/,,,,,,"","","",,,,,,,,,,31404-1409,,,,,,"","",
,Central Of Georgia Railway Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Carrollton, Georgia, USA",,,,,"170 MUSE BRIDGE RD, CARROLLTON, GA 30116-5791",,,Carrollton,,,Carroll County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cofga.org/,,,,,,"","","",,,,,,,,,,30116-5791,,,,,,"","",
,Central Of Georgia/Roundhouse Complex,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"601 W HARRIS ST, SAVANNAH, GA 31401-3193",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.savannah.com/the-roundhouse-railroad-museum/,,,,,,"","","",,,,,,,,,,31401-3193,,,,,,"","",
,Chattahoochee County Historic Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cusseta, Georgia, USA",,,,,,,,Cusseta,,,Chattahoochee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/Chattahoochee-County-Historic-Preservation-Society-255215751245940/?fref=nf,,,,,,"","","",,,,,,,2,,,31805-0002,,,,,,"","",
,Chattahoochee Parks Conservancy,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roswell, Georgia, USA",,,,,"  ",,,Roswell,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.chattahoocheeparks.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Chattahoochee River National Recreation Area,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Sandy Springs, Georgia, USA",,,,,"1978 ISLAND FORD PARKWAY, SANDY SPRINGS, GA 30350",,,Sandy Springs,,,DeKalb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/chat/index.htm,,,,,,"","","",,,,,,,,,,30350,,,,,,"","",
,Chattahoochee Valley Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in West Point, Georgia, USA",,,,,"3419 20TH AVENUE, WEST POINT, GA 31833",,,West Point,,,Troup County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cvhistoricalsociety.org/,,,,,,"","","",,,,,,,,,,31833,,,,,,"","",
,Chattahoochee Valley Sports Hall Of Fame,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,"7939 BALLANTYNE WAY, COLUMBUS, GA 31909-8019",,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://civiccenter.columbusga.gov/hall/,,,,,,"","","",,,,,,,,,,31909-8019,,,,,,"","",
,Chattooga County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Summerville, Georgia, USA",,,,,"389 STURDIVANT ESTS, SUMMERVILLE, GA 30747-6039",,,Summerville,,,Chattooga County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.chattoogahistory.org/,,,,,,"","","",,,,,,,,,,30747-6039,,,,,,"","",
,Cherokee County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Canton, Georgia, USA",,,,,,,,Canton,,,Cherokee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.rockbarn.org/,,,,,,"","","",,,,,,,1287,,,30169-1287,,,,,,"","",
,Cherokee County Sports Hall Of Fame,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Canton, Georgia, USA",,,,,"151 WALESKA ST, CANTON, GA 30114-2782",,,Canton,,,Cherokee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://ccshof.net/,,,,,,"","","",,,,,,,,,,30114-2782,,,,,,"","",
,Chickamauga And Chattanooga National Military Park,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Fort Oglethorpe, Georgia, USA",,,,,"901 EASTERN AVE NE, GRAND RAPIDS, MI 49503-1201",,,Fort Oglethorpe,,,Kent County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/chch/index.htm,,,,,,"","","",,,,,,,,,,49503-1201,,,,,,"","",
,Chief Vann House,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Stockbridge, Georgia, USA",,,,,"82 GEORGIA 225, CHATSWORTH, GA 30281",,,Stockbridge,,,Henry County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://gastateparks.org/ChiefVannHouse,,,,,,"","","",,,,,,,,,,30281,,,,,,"","",
,Chieftains Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Rome, Georgia, USA",,,,,"501 RIVERSIDE PARKWAY NORTHEAST, ROME, GA 30162-0373",,,Rome,,,Floyd County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://chieftainsmuseum.org/,,,,,,"","","",,,,,,,,,,30162-0373,,,,,,"","",
,Chipley Historical Center Of Pine Mountain,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Pine Mountain, Georgia, USA",,,,,"146 N MCDOUGALD AVE, PINE MOUNTAI, GA 31822-0000",,,Pine Mountain,,,Harris County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://chipleyhistoriccenter.org/,,,,,,"","","",,,,,,,,,,31822-0000,,,,,,"","",
,Cleveland Better Home Town,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cleveland, Georgia, USA",,,,,"59 SOUTH MAIN STREET, CLEVELAND, GA 30528-1376",,,Cleveland,,,White County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30528-1376,,,,,,"","",
,Coastal Georgia Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in St Simons Is, Georgia, USA",,,,,"610 BEACHVIEW DRIVE, ST SIMONS IS, GA 31522-0636",,,St Simons Is,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.saintsimonslighthouse.org,,,,,,"","","",,,,,,,,,,31522-0636,,,,,,"","",
,Coastal Landmark Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Brunswick, Georgia, USA",,,,,,,,Brunswick,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,190,,,31521-0190,,,,,,"","",
,Cobb Landmarks And Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,"65 WHITLOCK AVE SW, MARIETTA, GA 30064-2343",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cobblandmarks.com,,,,,,"","","",,,,,,,,,,30064-2343,,,,,,"","",
